date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:44	155644/155644	---M--	200	added ('OK')	image/jpeg	etag:%22v1bf8%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiWI3bZiWtj2CvSn-JwQAqx6ikO0KoxyP-dkAktGPWXj8tpkzTGu2Vnj12lzlYeCs8p-IrVS5IGN7Ro8yEhGSNgux7ckHz5h2svl1uAjhHAsxduzlCOQlMkluf5I_peytkZbG8lxNjz1LClBUP8TdkUWpwKpAtxr3RGTN4plltDWcuNeXwEiSxP6CJFXVEl/w558-h640/IMG_5291.jpeg	C:/My%20Web%20Sites/1st/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiWI3bZiWtj2CvSn-JwQAqx6ikO0KoxyP-dkAktGPW/w558-h640/IMG_5291.jpeg	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:46	1716/1716	---MCZ	200	added ('OK')	application/javascript	etag:W/%226220ab96-6b4%22	http://widget.supercounters.com/ssl/online_t.js	C:/My%20Web%20Sites/1st/widget.supercounters.com/ssl/online_t.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:46	42167/42167	---M--	200	added ('OK')	image/jpeg	etag:%22v1dad%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgcgZeFCyjWi_Ck95_UgdT5cDTdpWKwjwwCHxvqf29OdeN8ilzFJ7aMvt0SaG8r6iSvWMT22TnVqxm0SkSyDvAFAQriTLKCBHhmZupzvVagzwJP9t3-umVbhbAOUD-sBi-UFlH-RIGnLMuCSK586QxN7iVS6oCVbnFVh4UpNbhjL1SD7faY_Jno1z1yJDEk/w418-h640/IMG_5964.jpeg	C:/My%20Web%20Sites/1st/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgcgZeFCyjWi_Ck95_UgdT5cDTdpWKwjwwCHxvqf29/w418-h640/IMG_5964.jpeg	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:46	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://okrepisa.org/js/app.js?id=d41d8cd98f00b204e980	C:/My%20Web%20Sites/1st/okrepisa.org/js/app801b.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:47	151067/151067	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ccdd09a069362f7638b90de5777d6fb1%22	https://pamdas.pages.dev/wow.js?id=17138759790b445ece6b	C:/My%20Web%20Sites/1st/pamdas.pages.dev/wow18df.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Jun%202025%2005:54:52%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/My%20Web%20Sites/1st/img1.wsimg.com/traffic-assets/js/tccl.min.e.delayed	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:48	102055/102055	---M-Z	200	added ('OK')	text/javascript	etag:%2232285108dd7cc5067d47178e545b477a%22	https://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/My%20Web%20Sites/1st/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:49	11440/11440	---M-Z	200	added ('OK')	text/javascript	etag:%22-375139978%22	http://s10.histats.com/js15_as.js	C:/My%20Web%20Sites/1st/s10.histats.com/js15_as.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:50	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Jun%202025%2005:54:22%20GMT	http://sstatic1.histats.com/0.gif?4521361&101	C:/My%20Web%20Sites/1st/sstatic1.histats.com/0d0f6.gif	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:50	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1762a%22	https://code.jquery.com/jquery-latest.min.js	C:/My%20Web%20Sites/1st/code.jquery.com/jquery-latest.min.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:50	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://okrepisa.org/	C:/My%20Web%20Sites/1st/okrepisa.org/index.html	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
